Lat,Lng,Category,Name,Address,Website,Image,Zipcode,Phone Number,Visible,Description,Weight
37.7896013,-122.4058291,STORE,The Whisky Shop,"360 Sutter St<br />San Francisco, CA",http://www.whiskyshopusa.com/,http://siascotch.com/wp-content/uploads/2014/02/store_whiskyshop_sf.jpg,94108,(415) 989-1030,YES,"<strong><a href=""http://www.whiskyshopusa.com/sia/""> ORDER SIA SCOTCH WHISKY ONLINE</a> </strong>at this excellent San Francisco specialty Whisky Shop in Union Square. ",11
37.78726,-122.40307,STORE,Cask,"17 3rd St<br />San Francisco, CA",http://www.caskstore.com,http://siascotch.com/wp-content/uploads/2014/02/store_cask_sf.jpg,94103,(415) 281-6486,YES,"Located in the heart of San Francisco Cask offers a variety of single malt scotch whiskies, American Whiskeys and fine wines. ",6
37.45738,-122.18936,STORE,Beltramo's,"1540 El Camino Real<br />Menlo Park, CA ‎",http://www.beltramos.com/spirits/Sia-Sia-Blended-Scotch-Whisky-w4124448xz,http://siascotch.com/wp-content/uploads/2014/02/store_beltramos_sf.jpg,94025,(650) 325-2806,YES,"Family-owned mainstay boasting a huge selection of wines, beers & liquor, plus tasting events. Call (650) 325-2806 now to place your order for a bottle or case of SIA.",5
37.74336,-122.46899,STORE,SF Wine Trading Company,"250 Taraval St<br />San Francisco, CA ",https://www.sfwtc.com/spirits/Sia-Sia-Blended-Scotch-Whiskey-w9286657ab,http://siascotch.com/wp-content/uploads/2014/01/store_sfwtc_sf1.jpg,94116,(415) 731-6222,YES,"Order online <strong><a href=""https://www.sfwtc.com/spirits/Sia-Sia-Blended-Scotch-Whiskey-w9286657ab"">CLICK HERE TO ORDER</strong></a> or call (415) 731-6222 to place your order today.",11
37.75701,-122.42112,DRINK,DOSA,"995 Valencia St<br />San Francisco, CA",http://www.dosasf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_dosavalencia_sf.jpg,94110,(415) 642-3672,YES,"Incredible cocktails and authentic South Indian cuisine in a beautiful, refined atmosphere. Have SIA in a delicious cocktail at DOSA.",
37.78158,-122.43217,DRINK,1300 on Fillmore,"1300 Fillmore St<br />San Francisco, CA",http://www.1300fillmore.com,http://siascotch.com/wp-content/uploads/2014/02/bar_1300_sf.jpg,94115,(415) 771-7100,YES,Fantastic cocktails and incredible live music. 1300 on Fillmore restaurant and lounge draws on the rich cultural history of San Francisco's live music district.,
37.77328,-122.40319,DRINK,Cafe Mars,"798 Brannan St<br />San Francisco, CA",http://www.marsbarsf.com,http://siascotch.com/wp-content/uploads/2014/02/bar_marsbar_sf.jpg,94103,(415) 621-6277,YES,"Mars Bar has an really fun outdoor space + lively atmosphere. Even cooler because every year, it's the afterparty for our annual ""Noah's Ark Party"" on duckboats..lions & tigers & bears! Rock on!",
37.77947,-122.41043,DRINK,AQ,"1085 Mission St<br />San Francisco, CA",aq-sf.com,http://siascotch.com/wp-content/uploads/2014/01/bar_aq_sf.jpg,94103,(415) 341-9000,YES,"AQ’s (""As Quoted"") menu showcases new and traditional Mediterranean flavors, cutting edge cooking technologies and the exceptional seasonal bounty of Northern California. ",8
37.75268,-122.41319,DRINK,The Blind Cat,"3050 24th St<br />San Francisco, CA",,http://siascotch.com/wp-content/uploads/2014/01/bar_blindcat_sf.jpg,94110,(415) 824-1922,YES,"Quoted from Yelp: ""IT'S TWERK NIGHT!"" the bouncer said at the door to my very male friend. ""You gotta twerk to get in."" So my friend shook his ass while we girls walked right in. ",
37.78296,-122.41806,DRINK,Chambers Eat + Drink,"601 Eddy St<br />San Francisco, CA",http://www.chambers-sf.com,http://siascotch.com/wp-content/uploads/2014/01/bar_chambers_sf.jpg,94109,(415) 829-2316,YES,"BE AMAZING at this incredible restaurant and lounge inside San Francisco's iconic rock n' roll hotel, the Phoenix.",
40.58859,-122.39022,DRINK,Cheesecakes Unlimited & Café,"1135 Pine StRedding, CA",http://www.cheesecakesrestaurantredding.com/,http://siascotch.com/wp-content/uploads/2014/01/bar_cheesecakesunlimited_sf.jpg,96001,(530) 224-1775,YES,"Come in for great tasting salads, cheesecakes, burgers, starters, soups... and SIA cocktails.",
37.76562,-122.41340,DRINK,Dear Mom,"2700 16th St<br />San Francisco, CA",http://www.dearmomsf.com,http://siascotch.com/wp-content/uploads/2014/01/bar_dearmom_sf.jpg,94103,(415) 625-3362,YES,"Delicious Whisky, great bar for groups, yummy nibbles, homemade connect four, a great jukebox, and a photobooth in a fancy dive bar mission scene.",8
37.50565,-122.48112,DRINK,Flavor,"260 Capistrano Rd<br />El Granada, CA ",http://www.flavoronthecoast.com,http://siascotch.com/wp-content/uploads/2014/01/bar_flavor_halfmoonbay.jpg,94018,(650) 726-8000,YES,Half Moon Bay Restaurant voted top 10 in Open Table's Best American Restaurants San Francisco Bay Area 2013,
